,order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
544275,3123159,32793,prior,3,0,9,4.0
1534290,1531519,92154,prior,2,0,12,4.0
2791451,1547807,168380,prior,1,0,16,
3357044,3297786,202365,prior,14,2,13,4.0
207863,2965475,12549,prior,28,2,17,8.0
176922,385529,10673,train,20,3,13,13.0
968597,2538776,58158,prior,5,6,19,5.0
1183233,3002089,71106,prior,65,0,8,23.0
2384622,2579214,143498,prior,5,1,8,5.0
2323041,1410332,139879,prior,1,3,20,
584604,617934,35220,prior,11,5,16,9.0
2411423,564739,145106,prior,76,3,7,4.0
1281521,268450,77065,train,12,2,13,9.0
120786,1073276,7297,prior,23,5,14,4.0
1098866,2334713,66190,prior,3,2,18,30.0
3252989,2023178,196080,prior,10,6,7,7.0
1490151,1728147,89562,prior,6,6,11,8.0
2624700,3402551,158036,prior,5,0,11,30.0
3159930,97221,190519,prior,5,2,10,14.0
413651,3230626,24902,prior,8,0,19,8.0
2813264,1739085,169755,prior,13,5,16,6.0
232556,3386770,14095,prior,5,3,17,8.0
2880274,2152065,173789,prior,45,1,10,3.0
1390614,2773147,83585,prior,5,4,13,6.0
2364735,1700666,142345,prior,16,5,13,8.0
2491457,736917,149976,prior,8,5,13,14.0
1727895,2986993,103717,prior,1,0,17,
3158575,2519595,190449,prior,12,4,10,24.0
1607542,3332003,96506,prior,1,3,0,
2460223,2727567,148081,prior,7,4,10,13.0
662119,840226,39883,prior,4,4,10,30.0
1366361,2236707,82120,train,11,0,11,4.0
2082949,2089461,125241,test,15,6,12,15.0
1826439,1202131,109704,prior,26,4,20,4.0
381440,3248583,22948,prior,51,5,8,5.0
1046378,674648,62986,prior,5,2,10,26.0
2066105,1613178,124205,prior,8,0,15,8.0
476969,924440,28755,prior,1,1,17,
3310372,2518023,199543,prior,6,4,14,8.0
2453875,2318195,147693,prior,14,4,8,15.0
446448,1749387,26877,train,7,0,11,30.0
1936511,489803,116302,prior,14,0,14,7.0
1233830,2362449,74163,train,6,0,9,28.0
2958952,922532,178582,prior,2,6,14,6.0
696447,817524,41980,prior,40,5,11,3.0
2920022,2106297,176173,prior,5,1,13,7.0
2390421,1035545,143842,prior,3,4,21,4.0
2116978,2019351,127301,prior,18,4,13,16.0
523287,2532015,31554,prior,18,5,7,11.0
2243040,1077348,135091,prior,6,6,9,5.0
2450014,1546916,147435,prior,24,1,12,14.0
1254149,2697593,75431,prior,31,1,11,9.0
321921,575549,19492,prior,14,4,11,7.0
1031861,3158444,62069,prior,28,3,11,15.0
750612,1256153,45182,prior,2,2,18,21.0
209092,1658362,12638,prior,13,1,18,1.0
1610831,1583239,96716,prior,10,5,17,5.0
2782363,2163806,167763,prior,7,6,16,14.0
1846841,188025,110851,prior,96,4,19,2.0
3304576,1856125,199158,prior,4,1,17,7.0
725901,532998,43682,prior,61,5,17,2.0
318443,1706455,19288,prior,9,3,18,17.0
1849000,772475,110981,prior,2,0,10,10.0
2971170,1817932,179323,train,10,0,14,7.0
1086574,2763939,65461,prior,27,2,10,11.0
133825,1939561,8080,prior,18,0,18,30.0
2895596,2371919,174740,prior,5,6,18,13.0
2358508,2122727,141971,prior,2,0,9,6.0
100904,224990,6091,prior,3,0,7,3.0
277438,1256722,16758,prior,31,2,9,1.0
3292911,2955933,198456,prior,36,2,11,7.0
1577768,3269981,94750,prior,14,1,15,7.0
985185,224617,59219,prior,5,6,20,6.0
1730889,1512233,103908,prior,2,0,14,5.0
3113513,511765,187754,prior,8,1,10,8.0
3369311,2741403,203070,prior,9,1,15,27.0
430521,1698352,25876,prior,50,6,12,4.0
2609269,3031441,157076,prior,15,3,11,17.0
44617,988623,2757,prior,1,1,8,
2583192,87,155476,prior,6,1,15,4.0
2115333,1671127,127206,prior,19,5,10,1.0
1238914,302176,74493,prior,3,2,18,7.0
3219404,2003391,194098,prior,7,1,10,3.0
1213234,291693,72958,prior,51,0,15,5.0
2174994,1274044,130903,prior,5,2,9,23.0
1687403,1706190,101279,prior,3,6,14,7.0
1710320,2502716,102667,prior,23,3,15,23.0
2726105,304353,164203,prior,12,4,10,1.0
3244705,1553624,195563,prior,2,2,11,5.0
329282,2231731,19942,prior,6,0,16,28.0
1283095,827730,77163,prior,13,1,14,2.0
460507,2456498,27726,prior,8,4,21,22.0
253530,800349,15363,prior,5,0,10,8.0
2578757,1414637,155197,prior,2,1,16,7.0
1858141,2755698,111542,prior,28,0,11,4.0
258417,3194729,15651,prior,3,5,19,4.0
3412347,1946358,205688,prior,4,1,10,4.0
862558,2995059,51834,prior,9,3,9,4.0
592411,1543213,35702,prior,39,1,10,4.0
2023383,3402144,121554,prior,1,2,11,
858909,1821439,51601,prior,34,2,10,1.0
183698,2547166,11103,prior,2,0,13,20.0
872333,884945,52432,prior,4,6,17,30.0
1717643,92228,103135,prior,8,3,12,7.0
189846,187832,11484,prior,14,1,21,14.0
2261690,3112377,136198,prior,20,0,11,6.0
1759148,2042901,105585,prior,29,5,16,29.0
845369,1144805,50791,prior,2,3,11,15.0
2380437,113342,143255,prior,21,5,20,14.0
1357360,1068379,81582,train,12,3,10,30.0
1026469,258634,61708,prior,1,1,11,
3028853,1960502,182754,prior,1,2,13,
2573228,1003177,154837,prior,37,5,8,5.0
838167,1208171,50357,prior,5,1,20,9.0
2822843,2271264,170304,prior,5,2,16,16.0
2151979,431968,129455,prior,17,6,12,2.0
14874,2308812,932,prior,12,2,13,3.0
2553647,2696300,153658,prior,21,1,16,5.0
780878,2003844,46948,prior,9,0,11,8.0
642381,3147219,38705,prior,32,3,7,9.0
2378768,3309701,143155,prior,4,2,16,29.0
3212682,1368460,193697,prior,15,5,16,7.0
206099,2002280,12449,prior,33,5,18,6.0
2412909,2979390,145197,prior,28,0,11,6.0
1608013,2003236,96533,prior,49,1,10,3.0
2095849,687490,126004,prior,22,2,11,1.0
3390951,140436,204368,prior,92,4,13,3.0
2979552,2108832,179816,prior,15,2,13,6.0
966348,1464151,58020,prior,2,1,10,5.0
2618962,2139027,157668,prior,20,4,14,14.0
2800516,91504,168942,prior,7,4,18,10.0
2342524,615957,141026,prior,45,4,16,7.0
2583307,2410452,155483,prior,3,0,17,21.0
793324,1495935,47686,prior,12,6,16,3.0
1615338,861262,96978,prior,2,5,18,8.0
1563636,2764494,93923,prior,2,6,8,14.0
2790375,1780507,168286,prior,9,5,9,4.0
2817440,894226,169993,prior,13,1,12,4.0
849957,1380300,51100,prior,1,3,11,
127340,1324283,7683,prior,7,2,15,18.0
1912678,822694,114839,prior,49,0,16,7.0
1665494,3121830,99984,test,24,2,11,18.0
768413,1511554,46192,prior,12,2,11,6.0
2460468,1127953,148096,prior,1,6,8,
2098416,439276,126168,prior,14,3,12,4.0
632009,1641755,38081,prior,3,4,14,12.0
537373,1882378,32394,prior,13,6,13,4.0
3216388,2724791,193937,train,9,0,8,30.0
831562,1282586,49988,prior,33,1,8,2.0
2289543,468827,137909,prior,3,1,9,7.0
203347,1004957,12299,prior,7,0,17,7.0
1110973,2160223,66844,prior,54,4,7,5.0
2363974,2687462,142304,prior,18,5,12,1.0
2122944,3015133,127679,prior,17,1,9,3.0
2167207,397218,130387,prior,13,1,10,7.0
1474723,3400999,88621,prior,4,5,11,30.0
1029182,1534568,61895,prior,30,1,12,6.0
2023024,100903,121530,prior,2,5,16,27.0
268322,1262130,16260,prior,15,5,15,4.0
2104094,3068275,126528,prior,18,1,13,30.0
917465,357913,55058,prior,6,1,0,4.0
2256630,3341191,135909,prior,19,3,18,1.0
515320,1852109,31079,prior,34,3,16,25.0
2187959,661217,131741,prior,5,0,18,30.0
1006697,1769316,60502,prior,2,5,16,24.0
1432505,294633,86097,prior,8,1,12,13.0
2750737,1716607,165776,prior,7,6,13,30.0
2071611,576875,124542,prior,58,1,11,7.0
3171654,425983,191235,prior,5,3,14,25.0
263990,465408,15996,prior,6,4,20,20.0
15781,2201381,980,prior,6,2,10,6.0
1768254,387143,106151,prior,5,0,20,30.0
3299356,720456,198851,prior,2,1,18,30.0
2741190,617715,165163,prior,10,0,6,18.0
144954,3094892,8722,prior,1,3,12,
2496383,2769782,150273,prior,16,0,11,7.0
2402530,1290067,144571,prior,43,5,10,4.0
1016244,2594000,61068,prior,6,1,19,14.0
2531701,2839727,152338,prior,7,0,23,30.0
492307,2608303,29699,prior,15,1,18,7.0
2466216,3028927,148404,prior,6,0,11,30.0
1770223,3307318,106285,prior,15,0,16,10.0
1938081,484651,116378,prior,11,4,21,19.0
2804230,1133120,169176,test,6,0,15,30.0
421951,1521989,25374,prior,5,2,20,8.0
2840990,121170,171439,prior,15,3,13,7.0
2925490,113720,176491,prior,7,4,10,21.0
1852143,270501,111165,prior,13,0,23,15.0
2621145,1281322,157802,prior,25,2,7,23.0
2521299,1247523,151742,prior,36,0,20,3.0
2782393,1886511,167763,prior,37,6,18,7.0
3370999,376430,203165,prior,2,5,16,30.0
2234595,1401159,134597,prior,13,0,15,14.0
1782459,2776164,107040,test,4,6,13,30.0
1559428,2413386,93658,prior,6,1,8,30.0
587377,3227177,35396,prior,8,6,19,13.0
148618,212808,8931,prior,22,6,6,30.0
1711360,486044,102742,prior,6,6,18,21.0
178950,2659981,10804,prior,57,4,11,3.0
1728720,2398948,103762,prior,2,0,8,17.0
2636968,2383526,158749,prior,9,3,16,2.0
3006671,712914,181409,prior,42,3,9,7.0
2855000,1944146,172270,prior,7,2,8,7.0
2043668,1030912,122809,prior,9,2,14,12.0
2434820,591582,146497,prior,43,3,10,0.0
1594050,1258280,95723,prior,1,6,8,
184717,3078834,11170,prior,32,6,21,4.0
2288159,3273681,137814,prior,75,5,19,4.0
2745839,1061908,165446,prior,15,1,21,11.0
392582,1988888,23587,prior,3,5,11,30.0
1102441,3157848,66388,prior,11,1,18,17.0
2619595,3206993,157707,prior,1,6,10,
1811684,2892618,108798,prior,6,2,15,30.0
204704,146574,12380,prior,11,0,19,30.0
2955990,1259501,178380,prior,5,1,15,7.0
807809,1746360,48599,prior,40,5,9,3.0
1603310,2276343,96259,prior,12,0,10,6.0
1872734,3396677,112418,prior,3,2,10,8.0
2469280,893814,148607,prior,31,6,20,0.0
27105,2304773,1683,prior,24,2,10,5.0
3179990,3243735,191750,prior,11,1,9,4.0
3287281,2940322,198128,prior,1,0,23,
661625,2915521,39860,prior,22,4,11,5.0
1117933,2898471,67250,prior,10,3,9,8.0
1553411,2078573,93296,prior,14,0,12,7.0
1781788,2047962,106996,prior,9,2,15,8.0
2104006,3236448,126520,prior,3,6,13,30.0
1391287,1203747,83622,prior,2,5,10,21.0
1984925,78195,119220,prior,1,4,20,
2273329,2146429,136893,prior,14,2,13,13.0
626117,1932501,37733,prior,3,3,10,30.0
236093,1925468,14327,prior,23,2,12,3.0
2662577,1542016,160272,train,4,0,17,6.0
3343088,1830838,201528,prior,11,3,21,10.0
334015,3420599,20221,prior,19,1,9,3.0
3305546,2609667,199224,prior,3,0,8,30.0
805700,652150,48470,prior,5,0,8,7.0
2685899,1157257,161763,prior,1,2,11,
184127,2664517,11127,prior,13,3,11,9.0
2255108,1963458,135822,prior,16,3,16,4.0
3200994,2669367,192996,prior,13,2,14,16.0
737063,2377388,44365,prior,30,3,21,2.0
2919636,2378342,176146,test,13,0,16,30.0
318009,1689590,19254,prior,12,6,9,7.0
2798652,2964697,168840,prior,3,5,10,30.0
989505,2316759,59471,prior,30,1,10,3.0
1050920,2819331,63239,prior,6,5,9,15.0
2731342,1653414,164587,prior,18,1,13,26.0
1340728,1612622,80546,train,5,0,17,30.0
2008349,2098204,120695,prior,6,2,15,28.0
2627975,975168,158222,prior,3,3,17,30.0
2342786,2508322,141037,prior,4,4,9,18.0
3034809,986830,183112,prior,2,2,8,30.0
2728084,1251919,164355,test,4,3,12,19.0
2428851,3154617,146144,prior,58,5,7,5.0
1762562,2337883,105814,prior,4,0,11,16.0
146263,1580165,8789,prior,6,0,8,8.0
2477731,2607028,149099,prior,25,2,17,11.0
3223210,2947865,194322,prior,7,6,16,17.0
669894,692914,40367,prior,20,5,14,4.0
2993007,1466345,180575,prior,10,5,9,11.0
1935904,3415663,116266,prior,5,3,18,6.0
752991,1573698,45329,prior,5,1,13,10.0
2209414,2766928,133076,prior,2,0,19,29.0
1447594,2992228,86992,prior,2,4,12,30.0
113563,3032566,6867,prior,10,4,15,11.0
1482250,3122088,89087,prior,19,3,17,8.0
2663365,1332287,160317,prior,5,5,17,4.0
1609960,2296926,96665,prior,22,5,13,8.0
1500124,38749,90147,prior,2,3,18,14.0
2835207,2906646,171093,prior,6,4,10,30.0
3205451,2749580,193273,prior,21,2,14,4.0
1803925,61918,108350,prior,61,3,15,3.0
2923222,2161066,176372,prior,6,0,16,21.0
1491937,1404845,89646,prior,4,6,10,4.0
496361,735545,29958,prior,9,2,9,30.0
1415122,956095,85016,prior,9,4,12,8.0
2903471,133209,175202,prior,1,4,22,
1745207,3047402,104765,prior,49,4,19,5.0
2675331,189537,161067,prior,8,2,20,7.0
2968960,1045857,179189,prior,84,6,13,1.0
3192021,1900116,192470,prior,3,4,13,3.0
2185326,1870683,131568,prior,5,5,13,8.0
3253864,129296,196123,prior,16,5,9,8.0
662596,1613669,39913,prior,35,3,14,12.0
1104392,587672,66478,prior,55,6,12,5.0
2945844,565977,177773,prior,4,0,12,7.0
641282,3335797,38642,prior,21,4,9,7.0
889443,2139685,53452,prior,35,0,17,3.0
2697843,2276390,162482,prior,26,1,10,8.0
748780,2411221,45066,prior,3,6,16,30.0
86974,3199596,5293,prior,34,5,10,5.0
245572,1721829,14857,prior,46,2,9,7.0
3148911,3225990,189889,prior,34,1,8,5.0
1869765,1012293,112231,prior,3,1,7,19.0
1877278,826206,112680,prior,17,6,11,10.0
2926197,2211589,176530,prior,29,0,20,5.0
1118786,1422497,67311,prior,6,6,7,5.0
2256611,2991455,135908,train,16,6,13,10.0
2465630,3394832,148375,prior,42,5,13,1.0
3252478,1750142,196046,prior,19,5,19,21.0
51561,1320402,3213,prior,29,6,15,7.0
1141532,845122,68610,prior,41,3,11,2.0
783271,532192,47091,train,11,5,9,30.0
1318353,1680552,79244,test,8,1,22,3.0
461988,798912,27818,prior,4,1,13,7.0
2988387,1567545,180299,prior,1,1,15,
1982194,2812052,119052,prior,7,0,12,14.0
563870,1274915,33966,prior,86,0,11,2.0
3287567,3070314,198146,prior,1,2,15,
3346198,158324,201700,prior,12,3,11,14.0
1918101,2547585,115189,prior,36,1,10,1.0
3328600,2194820,200630,prior,5,3,18,5.0
3305705,1024500,199232,prior,7,6,14,7.0
3384079,1866580,203936,prior,3,5,9,10.0
2054553,1615017,123478,prior,4,0,14,28.0
676975,2512586,40817,prior,57,2,19,0.0
2819244,1001909,170093,prior,26,4,19,7.0
1383354,3030173,83145,prior,23,0,11,13.0
2340065,1718696,140883,prior,30,5,18,2.0
3214277,751200,193793,prior,5,3,10,30.0
2162707,3305603,130110,prior,43,0,16,8.0
12459,3145059,781,prior,7,3,9,30.0
617328,2103742,37218,train,6,0,17,30.0
1852385,1686904,111184,prior,1,0,17,
1874463,2734342,112529,prior,2,6,11,2.0
3318189,3334479,199999,prior,68,5,16,4.0
1603220,2603123,96252,prior,19,1,10,12.0
2705465,567381,162950,prior,53,5,18,2.0
937819,1548930,56246,prior,3,6,0,27.0
759982,2910398,45722,prior,2,5,12,7.0
2257485,2306882,135953,prior,2,3,18,30.0
376562,984424,22664,prior,3,2,9,8.0
131195,74862,7910,prior,28,4,17,10.0
517759,2081992,31189,prior,4,0,7,6.0
2584335,2748241,155556,train,7,0,8,9.0
2699483,478105,162587,prior,4,5,12,27.0
1497933,3347984,90021,prior,2,6,17,6.0
569730,2075323,34309,prior,14,4,16,22.0
3393249,1665244,204496,prior,17,0,11,8.0
602882,576905,36368,prior,3,2,12,5.0
522423,725042,31496,prior,4,0,16,10.0
3079782,1147818,185724,prior,7,0,17,6.0
70122,740132,4339,prior,14,3,11,9.0
1860013,3090445,111646,prior,48,6,12,2.0
694822,1083404,41888,prior,4,3,15,10.0
40157,2679390,2476,prior,13,0,16,6.0
2524278,1631865,151930,prior,21,2,18,2.0
566879,712518,34153,prior,22,2,0,9.0
3135589,65974,189025,prior,81,2,10,2.0
857451,132294,51522,prior,5,5,11,3.0
1257343,169236,75624,prior,1,5,8,
2915847,1845810,175903,prior,29,2,14,4.0
312825,2957336,18923,prior,1,3,17,
575802,1291333,34658,prior,4,4,20,14.0
1326427,1150046,79688,prior,7,2,20,0.0
1618811,1624449,97196,prior,14,4,12,9.0
1334817,795540,80189,prior,27,5,12,2.0
2573482,1879471,154845,prior,20,6,12,2.0
211814,1232133,12807,prior,7,1,22,10.0
3385700,896196,204052,prior,1,1,15,
3318560,3379023,200019,prior,26,0,14,9.0
132146,2081548,7975,prior,12,4,16,5.0
2267903,1794498,136559,prior,20,2,18,8.0
3186661,1779180,192135,prior,34,1,8,7.0
894798,2845266,53734,prior,17,3,8,6.0
706208,662513,42539,prior,24,4,9,6.0
1272149,2276334,76505,prior,2,4,14,26.0
343430,2555531,20785,prior,7,5,14,7.0
1486873,1407755,89371,prior,8,1,8,7.0
1414402,3061532,84984,prior,1,5,8,
2585622,2863157,155636,train,14,0,13,21.0
3260029,882680,196468,prior,1,6,15,
560024,1985683,33760,prior,17,4,15,6.0
1841784,128335,110577,prior,2,1,13,10.0
3294064,3120495,198529,prior,9,1,10,7.0
1247099,2702799,74970,prior,27,4,16,4.0
2509139,2489256,151061,prior,32,1,14,3.0
2593094,3020164,156112,prior,11,0,9,6.0
953152,548023,57177,prior,23,4,9,28.0
2873259,2534809,173353,prior,17,1,10,30.0
167275,1281870,10103,prior,4,1,17,15.0
393514,2903733,23636,prior,17,3,13,5.0
1529635,1024113,91888,prior,13,1,8,30.0
743836,2594695,44787,prior,25,3,10,6.0
2738038,2631408,164971,prior,24,3,21,2.0
1348347,2453548,81013,prior,18,6,18,17.0
14072,1620453,879,prior,30,5,11,2.0
3118698,2138929,188030,prior,25,5,10,3.0
1322696,1638079,79466,prior,1,4,14,
1801954,2565077,108234,prior,17,5,13,30.0
1213793,1220807,72989,prior,3,6,11,30.0
767767,1908437,46156,train,11,3,8,30.0
3205087,1448374,193251,prior,8,1,18,5.0
1525661,3366717,91666,prior,17,6,21,4.0
2036887,1281045,122382,prior,31,0,7,4.0
2752260,63979,165864,prior,8,1,16,30.0
3376865,215733,203487,prior,28,1,18,7.0
1419956,304742,85299,prior,5,3,18,10.0
3273986,1045019,197334,prior,29,3,11,3.0
68984,1395916,4274,prior,3,5,13,28.0
2562399,261267,154204,prior,38,2,19,2.0
3025227,574479,182551,prior,5,6,20,12.0
1636052,354850,98219,prior,3,3,10,3.0
3115739,1391373,187879,prior,27,6,19,6.0
2039201,999119,122533,prior,3,5,15,4.0
2359361,276832,142025,prior,2,0,11,7.0
2274360,2825132,136955,prior,6,2,14,4.0
3148661,3417888,189866,prior,3,5,18,6.0
1691770,1705228,101537,prior,53,6,9,5.0
3124216,416457,188358,prior,15,1,8,18.0
3368358,1896485,203020,prior,38,5,13,6.0
3402617,3275717,205066,prior,17,1,12,7.0
1441496,869307,86619,prior,50,1,17,1.0
2738213,1155037,164977,prior,9,4,23,6.0
459614,708494,27664,train,35,6,15,2.0
495279,2789663,29898,prior,6,0,17,30.0
2658395,1280783,160023,prior,4,0,14,24.0
132354,2254481,7994,prior,1,2,16,
2480624,3382747,149306,prior,3,3,9,12.0
1539108,288299,92444,prior,18,2,14,16.0
2969982,170993,179262,prior,16,5,8,5.0
685197,1871594,41295,prior,22,4,10,7.0
2308477,1159093,139011,prior,66,3,13,6.0
1510576,655904,90768,prior,1,0,11,
2914734,2580900,175828,prior,10,2,17,10.0
2034682,961748,122233,prior,37,2,10,6.0
2611337,1625778,157210,prior,10,2,17,7.0
3187435,2250241,192183,prior,7,0,18,21.0
3093462,1794458,186534,prior,34,1,14,7.0
2146037,1330324,129095,prior,3,0,15,4.0
1079722,1063232,65056,prior,6,3,10,30.0
943405,1687426,56601,prior,5,3,4,25.0
1848249,1481905,110940,train,7,6,9,19.0
1426662,1461565,85725,prior,11,2,17,14.0
234333,1462126,14225,prior,2,4,14,0.0
640089,1774704,38557,prior,10,0,8,14.0
2342777,3307237,141036,prior,4,3,15,9.0
137065,736538,8245,prior,2,5,11,7.0
1184122,2767191,71165,prior,1,0,14,
1962709,1000419,117867,prior,52,2,14,2.0
3283585,2887650,197909,prior,40,4,22,5.0
2016929,2738762,121192,prior,22,5,9,8.0
485357,54317,29267,prior,5,1,12,9.0
1805244,1341257,108423,prior,16,0,21,3.0
220585,2653254,13330,prior,66,4,16,0.0
702568,2276414,42310,prior,10,1,19,5.0
3078141,235336,185633,prior,44,5,16,2.0
2987133,1745897,180222,prior,64,2,17,3.0
402409,1870041,24191,prior,4,2,18,7.0
2598578,537255,156431,prior,10,2,8,4.0
2696066,2553070,162379,prior,2,4,13,10.0
630290,584476,37973,prior,7,5,17,30.0
842015,2539960,50590,prior,1,4,9,
3019073,282052,182209,prior,21,5,15,7.0
434527,215759,26106,prior,2,5,10,9.0
1228542,1826667,73826,prior,17,3,19,3.0
2291686,2705565,138054,prior,6,0,18,22.0
594139,2260606,35807,prior,16,4,9,5.0
2005763,192371,120530,prior,6,0,9,7.0
3283943,2543704,197928,prior,32,4,12,18.0
1216957,361906,73154,prior,14,4,12,9.0
1772102,2883112,106408,prior,38,2,20,14.0
2071877,79023,124561,prior,3,5,9,8.0
1869338,3208093,112201,prior,4,5,13,30.0
1339729,2177757,80481,prior,4,1,11,7.0
2630670,1997951,158397,prior,17,6,16,5.0
1629680,2022534,97837,prior,47,6,9,3.0
2178687,2939602,131126,prior,9,2,14,30.0
1648549,1396616,98982,prior,5,1,18,8.0
2874804,2637397,173442,prior,16,1,14,13.0
1622484,3099605,97425,prior,53,5,13,1.0
1632607,2676513,98019,prior,5,5,13,4.0
1680943,2967978,100907,train,12,3,22,2.0
2985241,1740981,180124,prior,15,5,15,4.0
1476995,1011731,88771,prior,6,2,14,2.0
1094745,1538055,65957,prior,12,3,15,6.0
700918,890329,42220,prior,3,0,15,7.0
1103449,279696,66440,prior,7,4,18,7.0
702354,2787120,42304,prior,3,0,13,30.0
1076074,254714,64840,prior,24,1,15,7.0
1243152,1400544,74740,prior,66,3,16,2.0
2726556,1992097,164237,prior,18,0,19,10.0
629905,212852,37949,prior,27,0,7,8.0
2382001,306778,143344,prior,5,0,12,10.0
2160799,3134838,129987,prior,19,1,10,4.0
3016924,108046,182068,prior,4,3,16,5.0
2216669,2020135,133539,prior,4,6,18,30.0
1745254,100720,104770,train,5,2,11,30.0
2019435,2553781,121327,prior,50,4,0,1.0
1467071,2791546,88169,prior,2,0,9,8.0
3006970,3203698,181424,prior,31,5,10,7.0
1194499,3148270,71809,prior,16,3,10,9.0
3388361,1924379,204217,prior,10,2,12,20.0
3306403,1234166,199280,prior,2,2,14,1.0
2840211,839336,171386,prior,12,5,11,1.0
1142226,209060,68659,prior,10,0,21,28.0
3369958,794962,203107,prior,3,0,14,22.0
884999,329378,53171,prior,13,3,17,30.0
3097671,3013098,186805,train,9,0,15,30.0
2322315,43312,139832,prior,7,6,18,30.0
3109079,2972733,187504,prior,25,6,11,5.0
1737627,1384880,104328,prior,23,1,18,7.0
2274917,2392464,136990,prior,3,0,17,7.0
2409184,487844,144981,prior,8,0,17,4.0
5709,2870914,342,prior,9,2,6,30.0
2306784,2554329,138909,prior,1,5,11,
1446970,2276916,86950,prior,21,1,22,7.0
1458029,1093821,87605,prior,11,6,16,27.0
1705894,2413695,102412,train,15,1,13,4.0
831957,813267,50009,prior,43,2,11,7.0
2982721,1203329,179970,prior,16,4,0,4.0
597533,2719296,36025,prior,1,6,22,
3018344,1381688,182164,prior,7,0,23,7.0
2048926,1093628,123129,prior,8,0,15,6.0
109033,3031799,6594,prior,2,4,9,10.0
2337678,2781744,140742,prior,10,4,5,19.0
2672596,754817,160899,prior,2,5,15,6.0
719002,950621,43292,prior,29,4,11,21.0
2353204,551694,141655,prior,5,3,16,6.0
551720,2834343,33254,prior,2,6,12,3.0
2624789,3252942,158043,prior,19,0,16,7.0
751907,39640,45263,prior,21,3,10,5.0
2644503,869185,159214,prior,29,3,7,7.0
1058818,50528,63763,prior,10,2,0,30.0
2085755,3097316,125402,prior,2,1,11,5.0
3001888,2724936,181123,prior,8,5,15,8.0
2674009,3207056,160979,prior,4,2,17,2.0
374192,1983137,22532,prior,21,5,12,6.0
1170153,125388,70332,prior,28,3,17,8.0
2597322,2194404,156365,prior,2,2,14,13.0
1039671,2882602,62575,prior,1,2,4,
1566723,3372042,94141,prior,5,2,11,12.0
952766,1422160,57155,test,10,1,17,7.0
2142175,2252501,128834,prior,6,3,9,30.0
1105590,2776393,66538,prior,5,6,13,30.0
577234,2602807,34752,test,6,1,19,20.0
1743986,709773,104698,prior,48,3,10,4.0
1059672,447667,63801,prior,8,2,12,27.0
2261372,845870,136174,prior,45,6,18,9.0
1186109,939819,71281,prior,3,6,8,30.0
2322836,968182,139857,test,47,4,14,5.0
2903122,387370,175179,prior,22,6,10,21.0
971960,394974,58406,prior,58,2,15,4.0
2014597,1392653,121046,prior,62,0,17,4.0
42286,3048605,2604,prior,12,0,16,3.0
1155402,1397866,69448,prior,28,6,13,9.0
1351765,1571622,81239,prior,1,2,18,
278705,3108283,16842,prior,1,2,11,
2233765,3374482,134550,prior,26,6,17,3.0
266124,2570154,16126,prior,60,5,19,9.0
2817248,2247163,169989,prior,16,5,8,3.0
1668637,2474816,100173,prior,7,0,13,7.0
2021613,3309683,121445,prior,2,6,16,4.0
548606,1417909,33059,prior,35,1,11,7.0
2720530,61294,163863,prior,49,1,11,5.0
3009265,1669905,181594,prior,1,5,9,
475702,2538480,28681,prior,18,3,11,3.0
3033102,2974774,183004,prior,13,2,9,3.0
2789591,2684095,168227,prior,21,3,17,17.0
3181984,3085952,191862,prior,24,1,22,3.0
878384,984725,52789,prior,9,5,11,5.0
2668017,3272221,160612,prior,3,4,5,3.0
2688116,2097179,161897,prior,17,0,14,1.0
2641211,3075244,159006,prior,33,1,10,5.0
2819692,2841015,170121,prior,4,5,11,21.0
3120458,3081078,188127,prior,2,3,8,18.0
1914663,1956882,114958,prior,31,5,7,7.0
3420730,82500,206193,prior,23,0,14,2.0
3215646,1896156,193880,prior,1,2,17,
1737107,1512959,104303,prior,4,5,16,22.0
3330079,1715152,200736,prior,8,3,13,30.0
1835314,1992301,110194,prior,3,4,10,30.0
112535,625355,6801,prior,2,2,9,5.0
1216390,3126496,73121,prior,3,0,10,30.0
2981991,2420516,179928,prior,5,6,10,7.0
2766632,1879355,166781,prior,3,1,15,25.0
2540071,2792854,152836,prior,5,2,9,1.0
904727,1219864,54340,prior,8,1,10,30.0
1014997,275138,60984,prior,22,0,11,4.0
2715673,572113,163579,prior,30,3,13,4.0
2933538,2920644,176974,prior,13,2,15,9.0
2108546,674650,126810,prior,19,1,8,10.0
3077550,1808946,185591,prior,15,3,14,10.0
2712289,1548725,163348,prior,63,5,15,2.0
3061221,1427371,184641,prior,4,5,15,7.0
3345903,1534635,201681,prior,11,6,8,30.0
695444,1620006,41918,prior,2,1,16,6.0
2242273,2326490,135038,prior,3,6,17,12.0
603430,2977339,36398,prior,5,1,10,14.0
1425296,1668314,85633,prior,3,3,15,20.0
253355,1486204,15350,prior,11,2,23,12.0
1405856,2138514,84462,prior,18,0,19,2.0
154914,1152757,9321,prior,7,0,10,3.0
3140301,2237650,189341,prior,21,6,14,22.0
1595709,2365410,95808,prior,5,4,10,22.0
260733,2198372,15804,prior,13,3,5,9.0
916350,941777,54995,prior,12,2,14,6.0
2538215,1519054,152727,test,12,4,8,11.0
2810993,712625,169606,prior,4,5,12,8.0
1197607,2230090,71973,prior,9,2,22,2.0
